gene	drug	regulatory approval	indication	interaction score
BRAF	TIZATERKIB	Not Approved	""	0.1305094963972138
BRAF	MK-8353	Not Approved	""	0.08700633093147589
BRAF	TALAZOPARIB	Approved	""	0.01864421377103054
BRAF	GSK2636771	Not Approved	""	0.04894106114895519
BRAF	RUXOLITINIB	Approved	antiinflammatory agent,antineoplastic agent	0.03262737409930346
BRAF	MIRDAMETINIB	Not Approved	""	0.06525474819860692
BRAF	PLX8394	Not Approved	""	0.783056978383283
BRAF	OLAPARIB	Approved	""	0.01134865186062729
BRAF	ARQ-736	Not Approved	""	0.2610189927944277
BRAF	NAVITOCLAX	Not Approved	""	0.09788212229791038
BRAF	GEFITINIB	Approved	antineoplastic agent	0.02337483517562039
BRAF	PAN-RAF INHIBITOR XP-102	Not Approved	""	0.5220379855888554
BRAF	VALPROIC ACID	Approved	Anticonvulsants,for treatment of basal cell carcinoma,anticonvulsant	0.009158561150681673
BRAF	ABEMACICLIB	Approved	""	0.02747568345204501
BRAF	PYRVINIUM	Not Approved	""	0.2610189927944277
BRAF	LY-3009120	Not Approved	""	0.08700633093147589
BRAF	GSK2334470	Not Approved	""	0.08700633093147589
BRAF	RAF-265	Not Approved	""	0.1305094963972138
BRAF	ENZALUTAMIDE	Approved	antineoplastic agent	0.03262737409930346
BRAF	ERK1/2 INHIBITOR JSI-1187	Not Approved	""	0.2610189927944277
BRAF	AVUTOMETINIB	Not Approved	""	0.1450105515524598
BRAF	SARACATINIB	Not Approved	""	0.06023515218332947
BRAF	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.003527283686411185
BRAF	TINLORAFENIB	Not Approved	""	0.08700633093147589
BRAF	DNA-DEPENDENT PROTEIN KINASE-TARGETING SIDNA DT01	Not Approved	""	0.5220379855888554
BRAF	NERATINIB	Approved	antineoplastic agent	0.06960506474518072
BRAF	P53/HDM2 INTERACTION INHIBITOR CGM097	Not Approved	""	0.1740126618629517
BRAF	IAG933	Not Approved	""	0.104407597117771
BRAF	VTX-11E	Not Approved	""	0.2088151942355421
BRAF	LORLATINIB	Approved	""	0.04015676812221965
BRAF	TUBASTATIN A	Not Approved	""	0.08700633093147589
BRAF	PF-04217903	Not Approved	""	0.1740126618629517
BRAF	FUTUXIMAB/MODOTUXIMAB MIXTURE	Not Approved	antineoplastic agent	0.1740126618629517
BRAF	MIRANSERTIB	Not Approved	""	0.06525474819860692
BRAF	DEL-22379	Not Approved	""	0.1740126618629517
BRAF	LXH254	Not Approved	""	0.1305094963972138
BRAF	MEK INHIBITOR REC-4881	Not Approved	""	0.2610189927944277
BRAF	PILARALISIB	Not Approved	""	0.03070811679934443
BRAF	PALBOCICLIB	Approved	""	0.03070811679934443
BRAF	YM-254890	Not Approved	""	0.2610189927944277
BRAF	TUNLAMETINIB	Not Approved	""	0.2610189927944277
BRAF	EVEROLIMUS	Approved	immunosuppressant	0.03838514599918054
BRAF	ROMIDEPSIN	Approved	antineoplastic agent	0.01864421377103054
BRAF	PF-00477736	Not Approved	""	0.1305094963972138
