node_id;label;type;degree
@CHEMICAL_Phospholipids;@CHEMICAL_Phospholipids;chemical;230.0
@CHEMICAL_caffeic_acid;@CHEMICAL_caffeic_acid;chemical;230.0
@CHEMICAL_Arachidonic_Acid;@CHEMICAL_Arachidonic_Acid;chemical;228.0
@CHEMICAL_Fatty_Acids_Nonesterified;@CHEMICAL_Fatty_Acids_Nonesterified;chemical;228.0
@CHEMICAL_naringin;@CHEMICAL_naringin;chemical;228.0
@CHEMICAL_Doxycycline;@CHEMICAL_Doxycycline;chemical;227.0
@CHEMICAL_Polymers;@CHEMICAL_Polymers;chemical;227.0
@CHEMICAL_Peptides;@CHEMICAL_Peptides;chemical;225.0
@CHEMICAL_Sodium_Chloride;@CHEMICAL_Sodium_Chloride;chemical;225.0
@CHEMICAL_Tricarboxylic_Acids;@CHEMICAL_Tricarboxylic_Acids;chemical;225.0
@CHEMICAL_Fatty_Acids_Unsaturated;@CHEMICAL_Fatty_Acids_Unsaturated;chemical;224.0
@CHEMICAL_Starch;@CHEMICAL_Starch;chemical;224.0
@CHEMICAL_Fluorouracil;@CHEMICAL_Fluorouracil;chemical;222.0
@CHEMICAL_Glycosaminoglycans;@CHEMICAL_Glycosaminoglycans;chemical;222.0
@CHEMICAL_Hydroxylysine;@CHEMICAL_Hydroxylysine;chemical;222.0
@CHEMICAL_Methylprednisolone;@CHEMICAL_Methylprednisolone;chemical;222.0
@CHEMICAL_Platinum;@CHEMICAL_Platinum;chemical;222.0
@CHEMICAL_Methanol;@CHEMICAL_Methanol;chemical;220.0
@CHEMICAL_Isoleucine;@CHEMICAL_Isoleucine;chemical;219.0
@CHEMICAL_dapagliflozin;@CHEMICAL_dapagliflozin;chemical;218.0
@CHEMICAL_Bleomycin;@CHEMICAL_Bleomycin;chemical;217.0
@CHEMICAL_Sirolimus;@CHEMICAL_Sirolimus;chemical;217.0
@CHEMICAL_Catecholamines;@CHEMICAL_Catecholamines;chemical;215.0
@CHEMICAL_Hydroxychloroquine;@CHEMICAL_Hydroxychloroquine;chemical;215.0
@CHEMICAL_Sucrose;@CHEMICAL_Sucrose;chemical;215.0
@CHEMICAL_Acetates;@CHEMICAL_Acetates;chemical;214.0
@CHEMICAL_Ciprofloxacin;@CHEMICAL_Ciprofloxacin;chemical;214.0
@CHEMICAL_Silicon;@CHEMICAL_Silicon;chemical;214.0
@CHEMICAL_Cellulose;@CHEMICAL_Cellulose;chemical;213.0
@CHEMICAL_Thioacetamide;@CHEMICAL_Thioacetamide;chemical;213.0
@CHEMICAL_baicalin;@CHEMICAL_baicalin;chemical;213.0
@CHEMICAL_nitisinone;@CHEMICAL_nitisinone;chemical;212.0
@CHEMICAL_isovaleric_acid;@CHEMICAL_isovaleric_acid;chemical;211.0
@CHEMICAL_biochar;@CHEMICAL_biochar;chemical;210.0
@CHEMICAL_purine;@CHEMICAL_purine;chemical;210.0
@CHEMICAL_Anthocyanins;@CHEMICAL_Anthocyanins;chemical;209.0
@CHEMICAL_Mycophenolic_Acid;@CHEMICAL_Mycophenolic_Acid;chemical;209.0
@CHEMICAL_Tretinoin;@CHEMICAL_Tretinoin;chemical;209.0
@CHEMICAL_pembrolizumab;@CHEMICAL_pembrolizumab;chemical;209.0
@CHEMICAL_Dimethylnitrosamine;@CHEMICAL_Dimethylnitrosamine;chemical;208.0
@CHEMICAL_Diethylnitrosamine;@CHEMICAL_Diethylnitrosamine;chemical;207.0
@CHEMICAL_Sulfhydryl_Compounds;@CHEMICAL_Sulfhydryl_Compounds;chemical;206.0
@CHEMICAL_Styrene;@CHEMICAL_Styrene;chemical;205.0
@CHEMICAL_thymoquinone;@CHEMICAL_thymoquinone;chemical;205.0
@CHEMICAL_titanium_dioxide;@CHEMICAL_titanium_dioxide;chemical;205.0
@CHEMICAL_Linoleic_Acid;@CHEMICAL_Linoleic_Acid;chemical;204.0
@CHEMICAL_Dichloroacetic_Acid;@CHEMICAL_Dichloroacetic_Acid;chemical;203.0
